direction,road,scenario,mean,std
Northbound,Mission Boulevard,System Fully Coordinated,4389.253333333334,3979.571000944705
Northbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,5100.54,4271.335760649357
Northbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,5174.690000000001,4317.901074949814
Northbound,Osgood Road,System Fully Coordinated,2708.4422222222215,957.9618499894957
Northbound,Osgood Road,Mission Blvd Zero Offset Northbound,2033.32,901.9211008067929
Northbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,2082.9133333333343,933.4880076612803
Northbound,I-680,System Fully Coordinated,27532.941176470587,3089.7451154210066
Northbound,I-680,Mission Blvd Zero Offset Northbound,28413.176470588234,3802.5860359315693
Northbound,I-680,Mission Blvd L/V Coordinated Northbound,28343.25490196078,3765.604781235553
Southbound,Mission Boulevard,System Fully Coordinated,3276.7912772585682,2983.9786314240428
Southbound,Mission Boulevard,Mission Blvd Zero Offset Northbound,3093.214953271028,4335.421722273738
Southbound,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,3043.8660436137097,4220.123860259614
Southbound,Osgood Road,System Fully Coordinated,2560.5666666666666,1107.1870475898838
Southbound,Osgood Road,Mission Blvd Zero Offset Northbound,1825.88125,859.7401492163364
Southbound,Osgood Road,Mission Blvd L/V Coordinated Northbound,1863.016666666666,893.1523165267615
Southbound,I-680,System Fully Coordinated,23958.964912280702,3890.3324096996794
Southbound,I-680,Mission Blvd Zero Offset Northbound,25031.763157894737,5793.31484790017
Southbound,I-680,Mission Blvd L/V Coordinated Northbound,25066.245614035084,5762.494013646342
Both Directions,Mission Boulevard,System Fully Coordinated,3814.212560386473,3535.9940253737714
Both Directions,Mission Boulevard,Mission Blvd Zero Offset Northbound,4062.937198067633,4410.287322049105
Both Directions,Mission Boulevard,Mission Blvd L/V Coordinated Northbound,4073.2495974235076,4389.020652429497
Both Directions,Osgood Road,System Fully Coordinated,2632.119354838709,1038.640401653221
Both Directions,Osgood Road,Mission Blvd Zero Offset Northbound,1926.2548387096774,885.0841573496822
Both Directions,Osgood Road,Mission Blvd L/V Coordinated Northbound,1969.4182795698928,918.0318849821324
Both Directions,I-680,System Fully Coordinated,25646.675925925923,3927.09886980773
Both Directions,I-680,Mission Blvd Zero Offset Northbound,26628.541666666668,5177.057928116261
Both Directions,I-680,Mission Blvd L/V Coordinated Northbound,26613.722222222226,5129.5818533752035
